-3.27E-15,3.20E-16,1.21E-15,8.40E-16,-6.28E-17,-6.55E-16,-4.97E-16,1.64E-16,6.85E-16,6.02E-16,6.47E-18,-5.78E-16,-6.74E-16,-2.48E-16,3.00E-16,5.16E-16,2.75E-16,-1.52E-16,-3.78E-16,-2.40E-16,9.11E-17,3.07E-16,2.47E-16,1.29E-17,-1.68E-16,-1.68E-16,-5.22E-17,2.57E-17,-1.16E-18,-5.41E-17,-1.86E-17,1.08E-16,1.95E-16,1.17E-16,-9.85E-17,-2.64E-16,-2.08E-16,4.95E-17,2.86E-16,2.74E-16,-3.24E-19,-3.02E-16,-3.52E-16,-8.54E-17,2.75E-16,4.11E-16,1.92E-16,-1.91E-16,-4.00E-16,-2.51E-16,1.18E-16,3.65E-16,2.64E-16,-9.13E-17,-3.67E-16,-2.99E-16,6.21E-17,3.87E-16,3.70E-16,1.11E-17,-3.76E-16,-4.39E-16,-1.13E-16,3.21E-16,4.76E-16,2.10E-16,-2.47E-16,-4.91E-16,-3.03E-16,1.58E-16,4.93E-16,4.10E-16,-2.14E-17,-4.34E-16,-4.83E-16,-1.39E-16,2.99E-16,4.64E-16,2.38E-16,-1.65E-16,-3.96E-16,-2.73E-16,7.50E-17,3.38E-16,3.00E-16,1.18E-17,-2.67E-16,-3.05E-16,-9.14E-17,1.74E-16,2.64E-16,1.20E-16,-1.13E-16,-2.27E-16,-1.31E-16,8.00E-17,2.19E-16,1.70E-16,-2.03E-17,-1.90E-16
-0.011617213,0.003422234,0.00738969,0.005361924,-6.71E-05,-0.005019182,-0.006509624,-0.004177915,-0.000132931,0.002822426,0.003169179,0.001447442,-0.000536993,-0.001255806,-0.000504562,0.000733792,0.001296565,0.000794758,-0.000220164,-0.00087201,-0.000732183,-9.55E-05,0.000387535,0.000316649,-0.00015739,-0.000546348,-0.000497219,-8.29E-05,0.000315567,0.000380546,0.000126797,-0.000154549,-0.000189225,3.65E-05,0.000292488,0.000337925,0.000140338,-0.000115101,-0.000212882,-0.000103275,7.05E-05,0.000122662,-6.39E-08,-0.000180071,-0.000250406,-0.000151733,2.16E-05,0.000119703,7.77E-05,-3.28E-05,-8.25E-05,-1.00E-05,0.000123997,0.00020018,0.000153967,3.13E-05,-6.09E-05,-5.71E-05,1.08E-05,5.15E-05,5.54E-06,-9.83E-05,-0.000173085,-0.000156224,-6.55E-05,2.21E-05,4.47E-05,1.00E-05,-1.84E-05,1.28E-05,9.40E-05,0.000161474,0.000157974,8.44E-05,-3.36E-06,-4.81E-05,-4.13E-05,-2.50E-05,-4.47E-05,-0.000102444,-0.00015328,-0.000147591,-7.78E-05,1.48E-05,7.68E-05,8.88E-05,7.58E-05,7.61E-05,0.00010094,0.000122386,0.000101982,3.01E-05,-6.10E-05,-0.000123251,-0.000131605,-0.000101153,-6.75E-05,-5.15E-05,-4.27E-05,-1.52E-05
-0.023350803,0.006760899,0.014711292,0.010701359,-9.11E-05,-0.00994014,-0.012903501,-0.008266605,-0.000230411,0.005627546,0.006291793,0.00284795,-0.001103319,-0.002522261,-0.001011264,0.001463384,0.002583629,0.001579058,-0.00044523,-0.001740445,-0.001454728,-0.000180394,0.000782895,0.000638067,-0.000310984,-0.001088069,-0.000989226,-0.000161951,0.000631941,0.000758666,0.00024935,-0.000313446,-0.000382117,6.97E-05,0.000581362,0.000671925,0.000277248,-0.000232113,-0.000425709,-0.000204909,0.000143444,0.000247977,2.69E-06,-0.000356976,-0.000497337,-0.00030017,4.57E-05,0.000240444,0.000155073,-6.70E-05,-0.000166993,-2.26E-05,0.000244978,0.000396964,0.000304559,5.99E-05,-0.000123461,-0.000114491,2.25E-05,0.000104699,1.36E-05,-0.000193431,-0.000342557,-0.000308824,-0.000127943,4.63E-05,9.00E-05,1.92E-05,-3.88E-05,2.27E-05,0.000184214,0.0003189,0.000312057,0.000165762,-8.52E-06,-9.63E-05,-8.12E-05,-4.71E-05,-8.55E-05,-0.000200499,-0.000302217,-0.0002915,-0.000153102,3.02E-05,0.000152434,0.000174742,0.000147376,0.000147582,0.000197423,0.000241181,0.000201793,5.99E-05,-0.000120507,-0.000243333,-0.00025898,-0.000197822,-0.000131046,-0.000100351,-8.44E-05,-3.11E-05
-0.035221081,0.010001414,0.021952927,0.016014384,-6.44E-05,-0.014745736,-0.019161435,-0.012250502,-0.000286253,0.008412344,0.009359722,0.004193334,-0.001704098,-0.003801223,-0.001520476,0.002188043,0.003859531,0.002351075,-0.000676053,-0.00260468,-0.002165955,-0.000252848,0.001187447,0.000965085,-0.000460119,-0.001624355,-0.001475112,-0.000236413,0.000949262,0.001133936,0.000366917,-0.00047745,-0.000579317,9.90E-05,0.00086599,0.001001315,0.000410132,-0.000351369,-0.00063847,-0.000304615,0.000219237,0.000376409,8.75E-06,-0.000530161,-0.000740185,-0.000444738,7.25E-05,0.000362405,0.000232054,-0.000102778,-0.00025385,-3.80E-05,0.000362417,0.000589759,0.000451187,8.52E-05,-0.000187979,-0.000172362,3.51E-05,0.000159992,2.47E-05,-0.00028482,-0.000507787,-0.000457167,-0.000186779,7.27E-05,0.000136012,2.75E-05,-6.16E-05,2.90E-05,0.000270126,0.000471569,0.00046157,0.000243414,-1.58E-05,-0.000144722,-0.00011928,-6.58E-05,-0.00012174,-0.0002934,-0.000446055,-0.000431085,-0.000225617,4.64E-05,0.000226588,0.000257188,0.000214129,0.000213572,0.00028867,0.000355759,0.000299056,8.92E-05,-0.000178217,-0.000359695,-0.000381386,-0.000289224,-0.000190035,-0.000146091,-0.000124874,-4.78E-05
-0.047515869,0.012920162,0.028925555,0.021233834,0.000125203,-0.019171819,-0.02497026,-0.015888456,-0.000206046,0.011127707,0.012245269,0.005356625,-0.002416871,-0.005118855,-0.002035796,0.00289737,0.00509842,0.003081965,-0.000926194,-0.003454921,-0.002839564,-0.000284276,0.001621824,0.001309827,-0.000595173,-0.002142989,-0.001940779,-0.000295704,0.001269716,0.001499726,0.000468018,-0.000658137,-0.000790391,0.000115854,0.001136875,0.001315611,0.000529761,-0.000477998,-0.000850957,-0.000397936,0.000304377,0.000514933,2.55E-05,-0.0006913,-0.000969717,-0.000576628,0.000108641,0.000488326,0.000307711,-0.000143745,-0.000348359,-6.31E-05,0.000468368,0.000769561,0.000584863,9.99E-05,-0.000258871,-0.00023164,5.08E-05,0.000221995,4.54E-05,-0.000364075,-0.0006592,-0.000591611,-0.000233841,0.000106782,0.000184322,3.27E-05,-9.21E-05,2.39E-05,0.000341906,0.000608742,0.000596165,0.000309078,-3.00E-05,-0.000193763,-0.000151665,-7.34E-05,-0.000143134,-0.000369511,-0.000573259,-0.000556542,-0.000288862,6.53E-05,0.000296032,0.000328365,0.000265009,0.000261708,0.000362838,0.00045657,0.000387981,0.000117089,-0.000230118,-0.000463906,-0.000487555,-0.000363415,-0.00023405,-0.000181674,-0.000161537,-6.74E-05
-0.060069896,0.015624107,0.035711579,0.026383657,0.000420364,-0.0233432,-0.030475767,-0.01929302,-3.55E-05,0.013793842,0.015005905,0.006396957,-0.00320342,-0.006459898,-0.002553023,0.0035973,0.006312141,0.003784508,-0.001189682,-0.004295581,-0.00348753,-0.000288081,0.002075792,0.001665747,-0.000721375,-0.002650001,-0.002392787,-0.000344661,0.001592283,0.001859038,0.000557997,-0.000849901,-0.001010473,0.000124618,0.001398765,0.001619848,0.000640484,-0.000609564,-0.001063201,-0.000486923,0.000395745,0.000660069,4.91E-05,-0.000844545,-0.001190427,-0.000700064,0.000150936,0.00061685,0.000382439,-0.000188183,-0.000447897,-9.44E-05,0.000566778,0.000940772,0.000709932,0.000107503,-0.000333984,-0.000291826,6.85E-05,0.000288417,7.24E-05,-0.000435348,-0.000801483,-0.000716836,-0.000273078,0.00014589,0.000234152,3.60E-05,-0.000127587,1.13E-05,0.000404365,0.000735666,0.000720864,0.00036677,-4.88E-05,-0.000243226,-0.000180273,-7.38E-05,-0.000154715,-0.000434519,-0.000689446,-0.000672619,-0.000345933,8.59E-05,0.000362367,0.000392072,0.000305366,0.000298013,0.000425686,0.000548248,0.000471359,0.000143951,-0.00027818,-0.000560054,-0.000582936,-0.00042617,-0.000268121,-0.000210519,-0.000195657,-8.87E-05
-0.07298699,0.0180229,0.042231001,0.031433038,0.000864806,-0.027152468,-0.035549618,-0.022365516,0.000263343,0.016389428,0.017588411,0.007262319,-0.00409456,-0.007833687,-0.003072494,0.004284064,0.007490014,0.004446593,-0.001472228,-0.005122578,-0.004098953,-0.000252593,0.002557523,0.002037407,-0.000835121,-0.003140538,-0.002825357,-0.000378898,0.001917857,0.002209117,0.000632146,-0.001057386,-0.001243297,0.000122014,0.001647913,0.001909798,0.000738544,-0.000748148,-0.001275088,-0.000569738,0.000495958,0.00081457,8.26E-05,-0.00098661,-0.001398617,-0.00081149,0.000201998,0.000749066,0.000455839,-0.000237549,-0.000554567,-0.000134507,0.000654502,0.0010998,0.000822784,0.000105084,-0.000415088,-0.000353296,8.92E-05,0.000361104,0.000108386,-0.000495305,-0.000930815,-0.000828976,-0.00030121,0.000192164,0.000286138,3.64E-05,-0.000170305,-1.20E-05,0.000453608,0.000848053,0.000831518,0.000413145,-7.42E-05,-0.000293288,-0.000203522,-6.37E-05,-0.000152376,-0.000483779,-0.000790002,-0.000775379,-0.000394234,0.000108969,0.000424292,0.000445178,0.000330792,0.000317531,0.000472473,0.000626964,0.000546863,0.000169396,-0.000320796,-0.000644758,-0.000663003,-0.000472689,-0.000288077,-0.000229802,-0.000226169,-0.000112716
-0.08640115,0.019920167,0.048283316,0.036287796,0.001541433,-0.030361038,-0.039899591,-0.024882203,0.000771004,0.018857235,0.019865211,0.00783447,-0.005153426,-0.009251375,-0.003586764,0.004952535,0.008606982,0.005038461,-0.001787941,-0.005926081,-0.004648092,-0.000151545,0.00308356,0.002432226,-0.000930648,-0.003604639,-0.00322529,-0.000388087,0.002248462,0.00254339,0.000679731,-0.001290466,-0.001496011,0.000101955,0.001876846,0.002176321,0.000815543,-0.000898335,-0.001486131,-0.00064211,0.00061066,0.000983943,0.000131442,-0.001110908,-0.001586497,-0.000903204,0.000267442,0.000887185,0.000526862,-0.000295015,-0.000672639,-0.000188657,0.000725187,0.001239143,0.00091572,8.63E-05,-0.000505897,-0.000416742,0.000114725,0.000443844,0.000158707,-0.000537147,-0.001039242,-0.000919846,-0.000311232,0.000250102,0.000341595,3.21E-05,-0.000224592,-5.24E-05,0.000481598,0.00093694,0.000919347,0.000441057,-0.000110235,-0.000344359,-0.000218098,-3.69E-05,-0.000127569,-0.0005076,-0.000865226,-0.000856462,-0.000428176,0.000136225,0.000479107,0.000481079,0.000331978,0.000309818,0.000493207,0.000684617,0.000609506,0.000192444,-0.000354625,-0.000710857,-0.000718116,-0.000492749,-0.000285055,-0.000233548,-0.000250842,-0.000140976
-0.100048378,0.021524247,0.054045912,0.041011799,0.002346206,-0.033215281,-0.043818127,-0.027068261,0.001399573,0.021243537,0.021955919,0.008232081,-0.006307843,-0.010688989,-0.004092927,0.005612153,0.009687125,0.005587107,-0.002124091,-0.006715217,-0.005159511,-1.16E-05,0.003634719,0.002839016,-0.001016815,-0.004053636,-0.003605718,-0.000382132,0.002582052,0.00286805,0.00071146,-0.001538368,-0.001759744,7.24E-05,0.002094372,0.002429171,0.00088008,-0.001055344,-0.001696531,-0.000708197,0.000733811,0.001161711,0.000188841,-0.001225167,-0.001762652,-0.000983403,0.000341277,0.001028657,0.00059638,-0.000357218,-0.000797198,-0.000250692,0.000786209,0.00136717,0.000997101,5.79E-05,-0.000602299,-0.000481263,0.000143046,0.000532324,0.000217147,-0.000568674,-0.001135665,-0.000998416,-0.00031075,0.000314791,0.000399038,2.52E-05,-0.000285505,-0.000102523,0.000497433,0.001012318,0.00099398,0.000458251,-0.000152523,-0.000396028,-0.000227679,-4.67E-07,-8.99E-05,-0.000516804,-0.00092585,-0.000924992,-0.000453757,0.000165948,0.000529842,0.000507047,0.000319169,0.000286397,0.000498913,0.000730097,0.00066468,0.000214053,-0.00038341,-0.000766196,-0.000758766,-0.000497471,-0.000268729,-0.000228316,-0.000272154,-0.000171724
-0.114018902,0.022666615,0.059339464,0.045516863,0.003346988,-0.035509072,-0.04705089,-0.028729258,0.002217662,0.023496287,0.023747908,0.0083524,-0.007610841,-0.0121536,-0.004582446,0.006259233,0.010708337,0.006066018,-0.002493227,-0.007481241,-0.005610524,0.000190019,0.004224847,0.003263449,-0.001089231,-0.004479109,-0.00395511,-0.000351944,0.00292038,0.003177281,0.00071797,-0.001809503,-0.002040365,2.84E-05,0.002294247,0.002660499,0.000924875,-0.001223128,-0.001905798,-0.00076425,0.000870249,0.001352472,0.00025938,-0.001323882,-0.001920452,-0.001045476,0.000428315,0.001175336,0.000663442,-0.000426884,-0.000931832,-0.000324909,0.000832242,0.001477526,0.001060356,1.47E-05,-0.000707444,-0.000547417,0.000175797,0.000629739,0.00028818,-0.000584167,-0.001213347,-0.001057715,-0.00029379,0.000390061,0.000459573,1.40E-05,-0.000356747,-0.000167863,0.000494329,0.001066592,0.001047944,0.000458628,-0.000204591,-0.000448647,-0.00022945,5.10E-05,-3.20E-05,-0.000503184,-0.000963639,-0.000973844,-0.000466193,0.000199576,0.000574213,0.000517464,0.000284452,0.000238396,0.000481104,0.000756515,0.000708126,0.000233366,-0.000404324,-0.000804679,-0.000776735,-0.000478139,-0.00023155,-0.000209026,-0.000288213,-0.000206379
